,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,251611,261132,277269,280432,303348
10,Overnight visitors (tourists),80332,85317,89071,93362,101487
11,Same-day visitors (excursionists),171279,175815,188198,187070,201861
12,Nights in all types of accommodation,296189,312136,325711,336054,362533
13,Hotels and similar establishments,76085,80795,80371,85052,92128
14,Other collective establishments,70014,73614,89488,88159,94414
15,Private accommodation,150129,157727,155852,162843,175991
16,Inbound tourism, , , , , 
17,Total international arrivals,6724.5,7138.2,7852.9,8557.554,9071.7
18,Overnight visitors (tourists),,,,,
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,China,773.7,936,1145.7,1259.1,1421.6
22,New Zealand,1226.5,1270.8,1325.2,1352.9,1371.3
23,United States,538.2,584.6,664.7,759.4,788
24,United Kingdom,671.2,667.1,703.7,726.4,742.1
25,Japan,330.7,332.7,380.4,428.5,442.3
26,Nights in all types of accommodation,217920.861,235482.508,247157.117,264515.04,269272.43
27,Hotels and similar establishments,22560.801,24481.674,26683.459,28655.104,28822.085
28,Other collective establishments,105163.95,113670.724,116972.475,126878.577,132243.655
29,Private accommodation,90196.109,97330.11,103501.183,108981.359,108206.689
30,Outbound tourism, , , , , 
31,Total international departures,8986.7,9262.5,9665.3,10297.2,10759.4
32,Overnight visitors (tourists),,,,,
33,Same-day visitors (excursionists),,,,,
34,Top destinations, , , , , 
35,New Zealand,1185.6,1224.8,1292.6,1411.6,1419
36,Indonesia,1015.5,1125.6,1147.5,1222.9,1210.8
37,United States,970.2,999.4,1061.5,1086.2,1084.2
38,United Kingdom,564.3,570.9,600.6,610.9,643.7
39,Thailand,615.7,564.7,558.2,558.2,581.4
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION AUD", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,42209,48220,52574,57356,63253
43,International travel receipts,39802,45585,49827,54450,60276
44,International passenger transport receipts,2407,2635,2747,2906,2977
45,Outbound tourism, , , , , 
46,Total international expenditure,43015,45394,47990,51727,56597
47,International travel expenditure,36869,38897,41437,44896,49258
48,International passenger transport expenditure,6146,6497,6553,6831,7339
49,Not available,,,,,
50,,,,,,
