,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,
10,Overnight visitors (tourists),12265.141,12696.702,13342.758,13619.102,14033.018
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,35667.712,36425.294,38013.518,38523.036,39389.647
13,Hotels and similar establishments,23481.554,23941.039,24840.833,24970.562,25559.462
14,Other collective establishments,8860.126,9122.324,9718.048,10111.66,10375.924
15,Private accommodation,3326.032,3361.931,3454.637,3440.814,3454.261
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),25291.371,26727.634,28120.644,29460.335,30815.744
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Germany,11750.027,12140.737,12986.055,13442.884,14092.157
22,Netherlands,1671.581,1735.184,1862.885,1934.724,2001.096
23,Switzerland and Liechtenstein,1309.66,1400.447,1446.447,1454.029,1445.342
24,Italy,1051.49,1122.97,1102.399,1102.081,1098.95
25,United Kingdom,802.552,875.776,919.623,941.512,995.677
26,Nights in all types of accommodation,96233.027,98824.173,102863.435,105977.117,110429.735
27,Hotels and similar establishments,61829.801,63354.592,65243.779,66641.779,68331.357
28,Other collective establishments,16269.295,16980.708,18154.593,19402.542,20962.427
29,Private accommodation,18133.931,18488.873,19465.063,19932.796,21135.951
30,Outbound tourism, , , , , 
31,Total international departures,13543.603,13001.584,14245.862,14067.9,14628.193
32,Overnight visitors (tourists),10994.223,10627.682,11534.238,11490.865,11883.182
33,Same-day visitors (excursionists),2549.38,2373.902,2711.624,2577.035,2745.011
34,Top destinations, , , , , 
35,Italy,2032.914,1971.202,2177.651,2220.578,2330.031
36,Germany,2346.752,2296.832,2323.78,2189.432,2196.115
37,Croatia,1085.235,964.501,1416.323,1413.303,1352.57
38,Spain,576.282,592.232,627.857,620.4,615.238
39,Greece,380.398,351.783,368.657,374.949,420.064
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,17444,18351,18952,19952,21403
43,International travel receipts,15676,16435,17401,18112,19559
44,International passenger transport receipts,1768,1916,1551,1840,1844
45,Outbound tourism, , , , , 
46,Total international expenditure,10189,10195,10462,11300,12091
47,International travel expenditure,8329,8408,8800,9454,10143
48,International passenger transport expenditure,1860,1787,1662,1846,1948
49,Not available,,,,,
50,,,,,,
