,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,
10,Overnight visitors (tourists),,,,,
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,,,,,
13,Hotels and similar establishments,,,,,
14,Other collective establishments,,,,,
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,2759.683,2899.257,3203.691,3230.388,3299.759
18,Overnight visitors (tourists),2526.817,2660.257,2925.128,2959.869,3016.667
19,Same-day visitors (excursionists),232.866,239,278.563,270.519,283.092
20,Top markets, , , , , 
21,United States,997.262,1077.044,1233.277,1199.241,1265.067
22,Central America,716.645,709.102,724.638,735.178,691.386
23,Europe,370.482,393.115,434.884,462.295,480.102
24,Canada,172.73,175.771,188.104,201.921,217.006
25,South America,138.138,156.152,181.179,181.399,190.413
26,Nights in all types of accommodation,31332.531,30060.904,35394.049,35222.441,35295.004
27,Hotels and similar establishments,,,,,
28,Other collective establishments,,,,,
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,,,,,
32,Overnight visitors (tourists),798.346,918.647,1036.249,1150.426,1078.645
33,Same-day visitors (excursionists),,,,,
34,Top destinations, , , , , 
35,Central America,,449.046,464.245,587.995,583.08
36,North America,,307.789,382.063,370.825,375.637
37,Panama,,195.267,193.353,240.983,300.967
38,United States,,229.638,278.666,253.502,250.75
39,Nicaragua,,187.682,189.069,220.054,141.178
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,3137.2,3388,3648.4,3656,3772.5
43,International travel receipts,2996.3,3266.5,3648.4,3656,3772.5
44,International passenger transport receipts,140.9,121.5,,,
45,Outbound tourism, , , , , 
46,Total international expenditure,657,903.4,802.9,1043.9,981.8
47,International travel expenditure,450.1,690.1,802.9,1043.9,981.8
48,International passenger transport expenditure,206.9,213.3,,,
49,Not available,,,,,
50,Estimated value,,,,,
51,,,,,,
