,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,16515,12195,8803,6614,8166
10,Overnight visitors (tourists),5411,4040,2926,3638,3197
11,Same-day visitors (excursionists),11104,8155,5877,2976,4969
12,Nights in all types of accommodation,28040,24214,18137,19742,17581
13,Hotels and similar establishments,3624,2605,1888,1510,1524
14,Other collective establishments,818,1030,442,532,583
15,Private accommodation,23598,20579,15807,17700,15474
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),11622.961,12683.179,13808.532,15592.899,16644.871
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Germany,1988.993,2124.149,2277.378,2615.9,2783.513
22,Austria,1018.521,1119.709,1237.969,1331.215,1369.709
23,Slovenia,1101.552,1191.998,1298.501,1297.681,1364.252
24,Italy,1060.912,1111.428,1119.932,1110.219,1148.078
25,Czech Republic,661.486,696.151,688.953,741.757,755.104
26,Nights in all types of accommodation,61323.572,65862.68,72193.352,80221.997,83175.143
27,Hotels and similar establishments,22664.537,24118.527,26580.658,28543.321,29318.61
28,Other collective establishments,16009.672,16488.04,16788.089,18276.715,18379.527
29,Private accommodation,22649.363,25256.113,28824.605,33401.961,35477.006
30,Outbound tourism, , , , , 
31,Total international departures,4638,4355,2581,2597,2980
32,Overnight visitors (tourists),2763,2578,1614,1923,2058
33,Same-day visitors (excursionists),1875,1777,967,674,922
34,Top destinations, , , , , 
35,Bosnia and Herzegovina,523,404,283,325,390
36,Germany,308,261,278,211,326
37,Italy,257,452,203,210,213
38,Slovenia,314,183,144,165,171
39,Austria,304,258,169,213,166
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,8932,8196,9214,10531,11346
43,International travel receipts,8716.2,8011.9,9027.6,10320.3,11127.4
44,International passenger transport receipts,215.558,184.395,186.175,211.161,218.332
45,Outbound tourism, , , , , 
46,Total international expenditure,864,770.773,954,1399,1737
47,International travel expenditure,845.7,755.4,944.5,1368.7,1692.9
48,International passenger transport expenditure,18.727,15.209,9.187,29.86,43.957
49,Not available,,,,,
50,Break in series,,,,,
51,Provisional data,,,,,
52,,,,,,
