,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,263859.321,260037.637,255497.587,276537.090195,268152.19815
10,Overnight visitors (tourists),196232.021,191643.914,187942.43,191636.263252,189755.19266499998
11,Same-day visitors (excursionists),67627.3,68393.723,67555.157,84900.826942,78397.005485
12,Nights in all types of accommodation,989827.638,961650.564,938607.925,895659.1252100001,897591.157951
13,Hotels and similar establishments,,,,,
14,Other collective establishments,,,,,
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,206599.139,203302.405,203042.247,207274.458,211997.551
18,Overnight visitors (tourists),83701.017,84451.621,82682.174,86758.178,89321.896
19,Same-day visitors (excursionists),122898.123,118850.784,120360.073,120516.28,122675.655
20,Top markets, , , , , 
21,United Kingdom,11750.812,12235.713,12019.067,12697.58,13007.825
22,Germany,12908.576,11477.642,11753.13,12256.164,12272.217
23,Belgium,9256.72,9614.081,9110.174,10448.372,10507.02
24,Italy,7358.179,7594.272,6992.289,6600.801,6963.211
25,Switzerland,6480.475,6010.089,6352.645,7013.236,6771.926
26,Nights in all types of accommodation,571650.956,577210.86,561037.147,582100.33,596784.417
27,Hotels and similar establishments,,,,,
28,Other collective establishments,,,,,
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,31941.524,30607.599,29635.945125,44264.516415,44474.255362
32,Overnight visitors (tourists),27918.524,26648.024,26482.50495,29055.410556000003,26914.447009
33,Same-day visitors (excursionists),4023,3959.575,3153.4401749999997,15209.105859,17559.808353
34,Top destinations, , , , , 
35,Spain,4182.23391,4430.195456,4205.934918999999,4428.815576,4526.149671
36,Italy,2948.492874,3174.681915,3027.309554,3192.24816,3311.1915400000003
37,Great Britain,1964.500869,1668.035751,1813.451262,1988.930449,1803.960402
38,Belgium,1824.457365,1822.268478,1613.1448870000002,1659.780544,1726.655961
39,Portugal,1139.737685,1243.114774,1397.158856,1554.832457,1626.6717409999999
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,50518,59901,57266,59805,62030
43,International travel receipts,43769,52584,49834,52097,55450
44,International passenger transport receipts,6749,7317,7432,7708,6580
45,Outbound tourism, , , , , 
46,Total international expenditure,43996,43011,44241,46307,49130
47,International travel expenditure,36701,35627,36476,37867,40527
48,International passenger transport expenditure,7295,7384,7765,8440,8603
49,Not available,,,,,
50,,,,,,
