,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,726728.356003
10,Overnight visitors (tourists),153901.939,164138.592,164682.477,151175.053,159337.584003
11,Same-day visitors (excursionists),,,,,567390.772
12,Nights in all types of accommodation,570009.773,611975.014,589171.749,551345.688,587418.937214
13,Hotels and similar establishments,214421.038,221241.79,217996.72,220101.835,235440.973757
14,Other collective establishments,131223.57,139303.686,129470.715,107981.164,136486.506584
15,Private accommodation,224365.165,251429.538,241704.314,223262.689,215491.456873
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),32859.54,34831.012,35404.924,37307.331,38747.698
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Netherlands,4227.674,4315.047,4466.447,4574.457,4703.307
22,Switzerland,2757.996,3007.543,3096.12,3166.774,3295.205
23,United States,2364.563,2528.066,2552.66,2802.688,2964.24
24,United Kingdom,2409.966,2553.812,2545.455,2595.745,2674.111
25,Italy,1636.587,1707.991,1644.667,1702.032,1780.71
26,Nights in all types of accommodation,74805.253,78827.773,79946.914,83111,86961.856
27,Hotels and similar establishments,61311.889,64890.191,65860.75,68653,71418.492
28,Other collective establishments,13493.364,13937.582,14086.164,14458,15543.364
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,183238.008,181216.354,192956.601,194276.056,208171.530832
32,Overnight visitors (tourists),83008.008,83737.354,90965.601,92402.056,108541.530832
33,Same-day visitors (excursionists),100230,97479,101991,101874,99630
34,Top destinations, , , , , 
35,Austria,10574.871,10544.493,11379.674,11274.997,14395.60324
36,Italy,9485.428,10645.721,11548.473,10972.666,13572.692388
37,Spain,9143.204,10242.453,10392.755,11092.772,11671.678424
38,Netherlands,,4839.178,6763.021,5672.86,7413.346751
39,France,5472.093,4837.612,5158.745,6231.466,6143.330822
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,43779,45682,47154,49753,50642
43,International travel receipts,32609,33265,33838,35282,36391
44,International passenger transport receipts,11170,12417,13316,14471,14251
45,Outbound tourism, , , , , 
46,Total international expenditure,76381,76953,78853,85943,88141
47,International travel expenditure,70261,69861,72084,78839,80934
48,International passenger transport expenditure,6120,7092,6769,7104,7207
49,Not available,,,,,
50,,,,,,
