,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,19024.53,17154.435,24650.386,
10,Overnight visitors (tourists),5621.981,5111.088,4872.798,5492.23,5690.627
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,,,,,
13,Hotels and similar establishments,,,,,
14,Other collective establishments,,,,,
15,Private accommodation,44089.12,39104.054,39372.505,44999.173,48398.094
16,Inbound tourism, , , , , 
17,Total international arrivals,24272.388,26114.228,28070.833,30161.033,33072.157
18,Overnight visitors (tourists),,,,,
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Germany,2459.228,2810.349,3138.735,3705.95,4381.448
22,Bulgaria,1534.656,1900.643,2522.804,2546.307,3135.327
23,United Kingdom,2089.529,2397.169,2894.655,3002.042,2942.763
24,Italy,1117.711,1355.329,1386.902,1441.298,1667.114
25,France,1463.159,1522.1,1313.536,1419.799,1524.001
26,Nights in all types of accommodation,186927.498,188011.991,193418.75,213516.402,230726.5
27,Hotels and similar establishments,,,,,
28,Other collective establishments,,,,,
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,5802.2852,6291.0139,7234.5283,7685.308,7960.9848
32,Overnight visitors (tourists),,,,,
33,Same-day visitors (excursionists),,,,,
34,Top destinations, , , , , 
35,Bulgaria,750.622,1109.063,1556.803,2186.156,2370.92
36,Former Yugoslav Republic of Macedonia,1800.248,1979.124,1922.725,1786.857,1352.051
37,Turkey,715.603,652.15,802.687,809.888,967.166
38,Germany,468.852,399.964,443.904,420.761,499.629
39,Italy,291.976,297.234,363.858,350.823,404.968
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,14651.9,15824.2,15085.9,16620.9,18444.4
43,International travel receipts,13393,14125.8,13206.8,14630.1,16085.8
44,International passenger transport receipts,1258.9,1698.4,1879.1,1990.8,2358.6
45,Outbound tourism, , , , , 
46,Total international expenditure,3013.8,3188.7,3081.4,2919.8,3314
47,International travel expenditure,2076.4,2037.4,2005.3,1904.8,2191
48,International passenger transport expenditure,937.4,1151.3,1076.1,1015,1123
49,Not available,,,,,
50,,,,,,
