,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,
10,Overnight visitors (tourists),5515.165,5984.739,6346.301,6809.296,7170.933
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,16403.543,17715.503,18945.123,20789.938,22052.671
13,Hotels and similar establishments,9419.008,10125.57,10936.903,11552.595,12301.574
14,Other collective establishments,4258.535,4454.933,4552.22,5114.343,5188.097
15,Private accommodation,2726,3135,3456,4123,4563
16,Inbound tourism  (1), , , , , 
17,Total international arrivals,17253,20189,21444,22371.081,23893.078
18,Overnight visitors (tourists),10158,12410,13474,14101.502,14905.29
19,Same-day visitors (excursionists),7095,7778,7970,8269.579,8987.788
20,Top markets, , , , , 
21,Germany,1898,1899,1783,1865.053,2009.392
22,Romania,758,1583,2299,2075.918,1661.692
23,Austria,976,1088,997,1253.527,1391.472
24,Slovak Republic,1024,1533,1476,1561.73,1301.568
25,Czech Republic,748,792,833,861.731,821.588
26,Nights in all types of accommodation,14103.33,15144.395,16789.045,19076.781,20162.449
27,Hotels and similar establishments,10653.116,11092.521,11801.752,12754.054,13094.08
28,Other collective establishments,1698.214,1869.874,2000.293,2187.727,2246.369
29,Private accommodation,1752,2182,2987,4135,4822
30,Outbound tourism, , , , , 
31,Total international departures,8933,9705,10168,10874,12419
32,Overnight visitors (tourists),4927,5720,6303,6707,7595
33,Same-day visitors (excursionists),4006,3985,3865,4167,4824
34,Top destinations, , , , , 
35,Germany,686,812,956,1007,899
36,Slovak Republic,476,642,674,769,876
37,Austria,741,818,848,897,808
38,Romania,437,619,793,705,774
39,Czech Republic,522,473,544,572,641
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION HUF", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,1740630.4,1936973,2102562.6,2299013.1,2602620.8
43,International travel receipts,1365084.7,1487597,1594603.9,1694330.3,1870832
44,International passenger transport receipts,375545.7,449376,507958.7,604682.8,731788.8
45,Outbound tourism, , , , , 
46,Total international expenditure,629799.3,686340,769661.7,831195.5,888874
47,International travel expenditure,472912.8,511531,608584.9,672179.1,715493.5
48,International passenger transport expenditure,156886.5,174809,161076.8,159016.4,173380.5
49,Not available,,,,,
50,Arrivals from demand side surveys; Nights from supply side surveys.,,,,,
51,,,,,,
