,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,126514.603,112859.613,127857.748,121850.635,145306.94
10,Overnight visitors (tourists),50155.449,47092.742,54714.492,53647.141,62860.945
11,Same-day visitors (excursionists),76359.154,65766.871,73143.256,68203.494,82445.995
12,Nights in all types of accommodation,182348.938,150992.662,167452.881,192807.568,194500.951
13,Hotels and similar establishments,,,,,
14,Other collective establishments,,,,,
15,Private accommodation,182348.938,150992.662,167452.881,192807.568,194500.951
16,Inbound tourism, , , , , 
17,Total international arrivals,77694.032,81067.635,84924.545,89931.469,93228.621
18,Overnight visitors (tourists),48575.939,50731.762,52372.326,58253.03,61567.16
19,Same-day visitors (excursionists),29118.092,30335.873,32552.219,31678.439,31661.461
20,Top markets, , , , , 
21,Germany,9451.363,10016.011,11160.739,12450.676,13518.339
22,France,5358.176,6483.089,6394.403,7201.639,7640.667
23,United Kingdom,3767.868,4153.132,4355.87,4931.968,5658.509
24,Austria,3244.034,3416.98,3512.87,3689.608,4019.846
25,United States,2960.747,3159.385,2927.564,3361.169,3693.998
26,Nights in all types of accommodation,322696.37,331997.071,345836.909,365939.316,384426.421
27,Hotels and similar establishments,141330.959,146744.356,160438.219,170412.316,177738.301
28,Other collective establishments,49761.553,50390.076,52057.86,56659.37,66547.389
29,Private accommodation,131603.858,134862.639,133340.83,138867.63,140140.731
30,Outbound tourism, , , , , 
31,Total international departures,55169.361469999996,57418.064,57479.628,60042.386963,61194.642534
32,Overnight visitors (tourists),26862.26632,27493.537,29066.901,31805.451225,33347.082171999995
33,Same-day visitors (excursionists),28307.095149999997,29924.527,28412.727,28236.935738,27847.560362
34,Top destinations, , , , , 
35,France,5411.058966,5769.2231090000005,5532.409331,5525.259621,5786.9583729999995
36,Spain,2365.435335,2526.0772620000002,2702.7584580000002,3120.435612,3566.726099
37,Germany,2286.653267,2281.269894,2587.39155,2768.985929,3048.410756
38,Austria,1420.4036389999999,1550.728466,2192.2707769999997,2219.120011,2190.568311
39,United Kingdom,1458.755923,1525.5620560000002,1777.000859,1738.793396,1606.132777
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,35963.5,37437.3,38249.5,41038.3,43859.8
43,International travel receipts,34240.5,35555.9,36359.2,39154.8,41712.3
44,International passenger transport receipts,1723,1881.4,1890.3,1883.5,2147.5
45,Outbound tourism, , , , , 
46,Total international expenditure,26780.6,27346.1,27612.8,30648.8,31971.6
47,International travel expenditure,21712.8,22012.1,22546.2,24557.4,25485
48,International passenger transport expenditure,5067.8,5334,5066.6,6091.4,6486.6
49,Not available,,,,,
50,,,,,,
