,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism  (1), , , , , 
9,Total domestic trips,13894.335,14147.57,14224.119,14247.013,14677.6
10,Overnight visitors (tourists),2649.216,2663.154,2554.103,2528.015,2640.8
11,Same-day visitors (excursionists),11245.119,11484.416,11670.016,11718.998,12036.8
12,Nights in all types of accommodation,3431.178,3570.465,3719.255,3933.691,4354.797
13,Hotels and similar establishments,1292.253,1366.56,1405.779,1553.989,1715.156
14,Other collective establishments,2138.925,2203.905,2313.476,2379.702,2639.641
15,Private accommodation,,,,,
16,Inbound tourism  (2), , , , , 
17,Total international arrivals,5217.4,5048.6,5321.8,5590.3,6115.3
18,Overnight visitors (tourists),2062.7,2071.3,2295.9,2523.3,2824.8
19,Same-day visitors (excursionists),3154.7,2977.3,3025.9,3067,3290.5
20,Top markets, , , , , 
21,Belarus,424.8,365.9,394.8,432.1,443.1
22,Latvia,228.5,254.3,274.1,307.5,362.1
23,Russian Federation,326.3,211.6,216.8,256.8,286.2
24,Poland,162,175.2,196.9,218,249.5
25,Germany,174.2,188.7,203,213.5,241.5
26,Nights in all types of accommodation,3033.826,3010.727,3273.42,3431.233,3736.85
27,Hotels and similar establishments,2251.173,2246.829,2429.499,2526.763,2725.263
28,Other collective establishments,782.653,763.898,843.921,904.47,1011.587
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,4291.2,3981.1,4143.3,4294,4702.7
32,Overnight visitors (tourists),1788.616,1859.929,1952.796,2031.8,2244.3
33,Same-day visitors (excursionists),2503.019,2121.2,2190.5,2262.2,2458.4
34,Top destinations, , , , , 
35,Latvia,232,221.4,226.4,233.2,250.4
36,United Kingdom,205,213.1,210.8,212.7,215
37,Belarus,177.3,154.1,156.3,158.2,201.8
38,Poland,139.9,149.2,150.1,160.4,169
39,Germany,116.6,106.2,109.9,123,131.6
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,1115.6,1160.7,1246.2,1381.4,1503.2
43,International travel receipts,1041.8,1040.6,1089.7,1169.4,1274.2
44,International passenger transport receipts,73.8,120.1,156.5,212,229
45,Outbound tourism, , , , , 
46,Total international expenditure,938.1,1013.3,1095,1157.8,1360.6
47,International travel expenditure,796.4,857,912.9,984,1185.5
48,International passenger transport expenditure,141.7,156.3,182.1,173.8,175.1
49,Not available,,,,,
50,Trips from demand side surveys; Nights from supply side surveys.,,,,,
51,Arrivals from demand side surveys; Nights from supply side surveys.,,,,,
52,,,,,,
