,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,
10,Overnight visitors (tourists),200.383,203.584211,236.40297099999998,260.762766,245.476698
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,509.87577500000003,562.689624,622.737667,708.483382,650.037
13,Hotels and similar establishments,120.89865300000001,136.374414,114.64241,156.210068,158.43539900000002
14,Other collective establishments,,,,,
15,Private accommodation,388.97712199999995,426.31521000000004,508.095257,552.2733149999999,491.60209999999995
16,Inbound tourism, , , , , 
17,Total international arrivals,2114.943,2313.15,2533.834,2840.312,3152.891
18,Overnight visitors (tourists),1689.809,1783.366,1965.928,2273.837,2598.69
19,Same-day visitors (excursionists),425.134,529.784,567.906,566.475,554.201
20,Top markets, , , , , 
21,United Kingdom,487.714,525.996,559.987,560.893,640.57
22,Italy,262.631,282.815,315.223,363.668,390.607
23,Germany,143.053,141.855,156.786,193.033,226.962
24,France,125.511,127.953,144.804,176.371,213.299
25,Spain,42.285,47.237,55.023,75.511,99.046
26,Nights in all types of accommodation,13522.112,14151.599,14961.366,16509.141,18569.716
27,Hotels and similar establishments,8866.904,8801.128,8886.365,9417.628,10081.852
28,Other collective establishments,,,,,
29,Private accommodation,4655.208,5350.472,6075.001,7091.513,8487.864
30,Outbound tourism, , , , , 
31,Total international departures,429.862038,473.922792,549.4186,632.069158,727.975856
32,Overnight visitors (tourists),390.701038,427.62140500000004,496.76721999999995,572.499946,667.0476160000001
33,Same-day visitors (excursionists),39.161,46.301387000000005,52.651379999999996,59.569213000000005,60.928241
34,Top destinations, , , , , 
35,Italy,122.677978,136.64827499999998,165.55553400000002,181.053413,212.219473
36,United Kingdom,91.821625,89.266383,96.154106,105.812485,118.712233
37,Germany,21.928717,23.865519,32.301953000000005,38.431895,42.121335
38,Spain,17.895417000000002,19.407859000000002,23.066616000000003,27.905541,37.560137000000005
39,France,21.853342,20.945997,17.006282,21.510166,28.455472
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,1783.13,1676.798,2039.19,2407.039,1819.273
43,International travel receipts,1520.437,1381.786,1445.187,1721.889,1819.273
44,International passenger transport receipts,262.693,295.012,594.003,685.15,
45,Outbound tourism, , , , , 
46,Total international expenditure,398.02,368.099,407.838,466.533,511.516
47,International travel expenditure,398.02,368.099,407.838,466.533,511.516
48,International passenger transport expenditure,,,,,
49,Not available,,,,,
50,Estimated value,,,,,
51,Provisional data,,,,,
52,,,,,,
