,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,
10,Overnight visitors (tourists),21931,22311,23054,24311,25132
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,65328,66237,66589,67529,69080
13,Hotels and similar establishments,47939,49516,50201,52628,53614
14,Other collective establishments,17389,16720,16388,14901,15466
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),13925,15007,15829,17924,18780
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Germany,3894,4283,4615,5243,5689
22,Belgium,1828,1965,2132,2224,2398
23,United Kingdom,1857,1967,2045,2229,2212
24,America,1431,1508,1646,2013,2072
25,Asia,,,,,
26,Nights in all types of accommodation,34424,37298,39624,44169,47002
27,Hotels and similar establishments,30325,33025,35100,39272,41721
28,Other collective establishments,4098,4272,4523,4897,5282
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,,,,,
32,Overnight visitors (tourists),17933,18070,17938,22003,22166
33,Same-day visitors (excursionists),,,,,
34,Top destinations, , , , , 
35,Germany,3377,3375,3519,3782,3713
36,France,2606,2617,2550,2802,2873
37,Spain,1856,1969,2177,2696,2630
38,Belgium,1425,1430,1341,1638,1566
39,Italy,,,1175,1464,1425
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,16725.8,18308.5,19109.3,21141,22063.7
43,International travel receipts,11089.4,12493.3,13491.9,15167.2,15985.6
44,International passenger transport receipts,5636.4,5815.2,5617.4,5973.8,6078.1
45,Outbound tourism, , , , , 
46,Total international expenditure,19447.7,20001.5,20362.5,22318.8,22203.3
47,International travel expenditure,17385.2,17862.1,17984.4,19454.3,19334.3
48,International passenger transport expenditure,2062.5,2139.4,2378.1,2864.5,2869
49,Not available,,,,,
50,,,,,,
