,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,
10,Overnight visitors (tourists),15450,13700,13840,15080,18970
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,56060,48060,51840,52550,63280
13,Hotels and similar establishments,11320,10720,10210,10880,11480
14,Other collective establishments,12990,10560,17100,15490,15220
15,Private accommodation,32040,26790,24530,26180,36580
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),4841.685,5303.531,5959.575,5845.147,5687.552
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Germany,877.664,919.448,1094.912,893.563,1149.567
22,Sweden,610.669,612.457,679.035,678.256,622.587
23,United States,,,,,487.164
24,Netherlands,319.702,337.789,404.837,438.042,435.411
25,Denmark,374.477,376.054,401.763,405.909,370.535
26,Nights in all types of accommodation,8154.436,8828.771,9726.884,9948.628,10138.129
27,Hotels and similar establishments,5428.037,6032.35,6626.968,6585.534,6641.256
28,Other collective establishments,2726.399,2796.421,3099.916,3363.094,3496.873
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,17339,16277,15733,16800,16520
32,Overnight visitors (tourists),9190,8750,8030,8170,8110
33,Same-day visitors (excursionists),8149,7527,7703,8630,8410
34,Top destinations, , , , , 
35,Sweden,1478,1535,1222,1363,1356
36,Spain,1234,1242,1290,1359,1169
37,Denmark,1127,937,825,742,882
38,United Kingdom,676,674,654,571,638
39,Germany,620,498,452,414,563
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION NOK", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,35131,39297,43715,45974,47515
43,International travel receipts,35131,39297,43715,45974,47515
44,International passenger transport receipts,,,,,
45,Outbound tourism, , , , , 
46,Total international expenditure,116168,123315,126313,134099,141022
47,International travel expenditure,116168,123315,126313,134099,141022
48,International passenger transport expenditure,,,,,
49,Not available,,,,,
50,Break in series,,,,,
51,Estimated value,,,,,
52,,,,,,
