,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,95973.099
10,Overnight visitors (tourists),38387,39870,43600,45952.31,47736.33
11,Same-day visitors (excursionists),,,,,48236.769
12,Nights in all types of accommodation,177667.11,186758.67,203038.084,214207.468,224767.393
13,Hotels and similar establishments,30694.311,35429.306,42148.57,44595.298,47323.846
14,Other collective establishments,52854.417,56366.437,63749.93,66840.546,71902.286
15,Private accommodation,94118.382,94962.927,97139.584,102771.624,105541.261
16,Inbound tourism, , , , , 
17,Total international arrivals,73750,77743,80476,83804,85947
18,Overnight visitors (tourists),16000,16728,17471,18258,19623
19,Same-day visitors (excursionists),57750,61015,63005,65546,66324
20,Top markets, , , , , 
21,Germany,5743,6012,6288,6504,6704
22,Ukraine,1072,1198,1265,1360,2038
23,Russian Federation,1003,873,801,875,919
24,United Kingdom,664,753,797,851,919
25,Belarus,811,801,715,763,793
26,Nights in all types of accommodation,99107.226,92843.047,108401.096,113201.857,122064.777
27,Hotels and similar establishments,28438.911,24495.054,36903.598,41390.13,47194.871
28,Other collective establishments,13652.703,11050.319,9388.061,8568.706,13780.966
29,Private accommodation,57015.612,57297.674,62109.437,63243.021,61088.94
30,Outbound tourism, , , , , 
31,Total international departures,35353.285,44016.571,44494.222,46680.735,48615.002
32,Overnight visitors (tourists),10242.798,10906.35,11286.503,11958.1,12746.828
33,Same-day visitors (excursionists),25110.487,33110.221,33207.719,34722.635,35868.174
34,Top destinations, , , , , 
35,Germany,2060.809,2198.731,2310.056,2356.548,2438.093
36,Italy,826.608,879.011,936.111,999.935,1055.127
37,United Kingdom,872.396,855.532,915.243,970.504,1031.074
38,Czech Republic,495.055,584.704,654.987,725.347,761.949
39,Greece,,,,,751.58
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION PLN", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,40685.2,42770.2,47444.1,52907.6,56969
43,International travel receipts,37298,39454,43217.9,47973.8,50806.9
44,International passenger transport receipts,3387.2,3316.2,4226.2,4933.8,6162.1
45,Outbound tourism, , , , , 
46,Total international expenditure,30055.9,32116.8,33899.9,35864.4,38411
47,International travel expenditure,27934,29913,31412,33264.2,35200
48,International passenger transport expenditure,2121.9,2203.8,2487.9,2600.2,3211
49,Not available,,,,,
50,,,,,,
