,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism  (1), , , , , 
9,Total domestic trips,50083.855,52761.718,46986.045,51252.81,52085.143
10,Overnight visitors (tourists),15840.344,16193.896,15014.932,16444.213,16461.348
11,Same-day visitors (excursionists),34243.511,36567.822,31971.113,34808.597,35623.795
12,Nights in all types of accommodation,16467.78,18985.269,20462.599,21647.692,23144.216
13,Hotels and similar establishments,13813.061,15649.121,16833.366,17441.918,18481.213
14,Other collective establishments,2654.719,3336.148,3629.233,4205.774,4663.003
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),1911.817,2234.232,2471.411,2749.272,2785.405
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Germany,234.451,266.934,281.704,324.371,326.241
22,Israel,139.425,219.307,251.908,292.752,277.468
23,Italy,184.514,211.201,233.787,241.398,240.155
24,France,123.779,134.468,145.584,167.163,170.635
25,United States,113.42,130.201,137.586,157.179,165.532
26,Nights in all types of accommodation,3762.465,4460.017,4812.05,5267.984,5304.912
27,Hotels and similar establishments,3503.522,4100.387,4399.597,4799.993,4853.961
28,Other collective establishments,258.943,359.63,412.453,467.991,450.951
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,11307.472,11152.558,9894.847,10446.302,10469.245
32,Overnight visitors (tourists),11021.448,10987.776,9782.05,10354.072,10360.876
33,Same-day visitors (excursionists),286.024,164.782,112.797,92.23,108.369
34,Top destinations, , , , , 
35,Turkey,105.47,98.627,102.58,139.815,196.64
36,Bulgaria,85.523,110.558,132.515,139.183,163.568
37,Greece,105.752,136.812,136.469,162.545,161.26
38,Spain,55.576,59.735,64.775,56.347,71.204
39,Italy,37.37,47.117,52.384,52.369,68.745
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,2224.922,2096.923,2169.765,2945.008,3183.855
43,International travel receipts,1827.278,1711.276,1734.13,2522.344,2752.246
44,International passenger transport receipts,397.644,385.647,435.635,422.664,431.609
45,Outbound tourism, , , , , 
46,Total international expenditure,2641.273,2329.866,2463.138,4037.688,5047.74
47,International travel expenditure,2417.043,2058.081,2134.697,3468.462,4281.592
48,International passenger transport expenditure,224.23,271.784,328.441,569.226,766.148
49,Not available,,,,,
50,Estimated value,,,,,
51,Trips from demand side surveys; Nights from supply side surveys.,,,,,
52,,,,,,
