,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,,,,
10,Overnight visitors (tourists),33798.523,43656.898,48338.704,53534.365,62210.071
11,Same-day visitors (excursionists),,,,,
12,Nights in all types of accommodation,184017.713,212195.339,216837.584,253022.699,278983.696
13,Hotels and similar establishments,84118.56,100155.99,115174.637,135905.242,155963.212
14,Other collective establishments,99899.153,112039.349,101662.947,117117.457,123020.484
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,25437.893,26851.658,24570.518,24390.002,24550.91
18,Overnight visitors (tourists),,,,,
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Ukraine,8435.654,8911.705,8569.264,8722.832,8202.273
22,Kazakhstan,3733.319,4711.082,3564.152,3484.687,3510.144
23,China,873.792,1121.536,1288.72,1478.212,1690.186
24,Finland,1380.179,1415.853,1319.03,1016.738,949.796
25,Azerbaijan,818.467,856.349,898.426,876.074,893.384
26,Nights in all types of accommodation,,,,,
27,Hotels and similar establishments,,,,,
28,Other collective establishments,,,,,
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,,,,,
32,Overnight visitors (tourists),42921.330634000005,34390.16906,31658.706295000004,39628.520323,41963.523
33,Same-day visitors (excursionists),,,,,
34,Top destinations, , , , , 
35,Turkey,4216.16626,3460.325476,797.304,4519.910698,5719.373
36,Finland,4283.323371,3066.657954,2894.3943569999997,3333.061544,3361.3894330000003
37,Kazakhstan,3330.126,3125.14,2849.526,2977.946,2954.888
38,Ukraine,2557.509,1656.624,1804.338,2282.997,2289.605
39,China,1730.618,1284.324,1676.214,2003.419,2018.226
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,19451.1,13185.6,12821.8,14982.3,18670.4
43,International travel receipts,11759.1,8419.9,7787.1,8944.6,11486.2
44,International passenger transport receipts,7692,4765.7,5034.7,6037.7,7184.2
45,Outbound tourism, , , , , 
46,Total international expenditure,55382,38431.8,27653.9,35583.9,38790.5
47,International travel expenditure,50427.6,34931.7,23952.4,31057.9,34270.7
48,International passenger transport expenditure,4954.4,3500.1,3701.5,4526,4519.8
49,Not available,,,,,
50,Break in series,,,,,
51,,,,,,
