,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,,10016,,,10917
10,Overnight visitors (tourists),1888,1535,1720,1813,2003
11,Same-day visitors (excursionists),,8481,,,8914
12,Nights in all types of accommodation,4883,4515,5024,4871,5412
13,Hotels and similar establishments,,,,,
14,Other collective establishments,,,,,
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),2675.071,3022.018,3396.873,3990.682,4425.139
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Italy,479.612,526.873,572.584,608.363,598.825
22,Germany,277.008,314.095,342.339,436.545,506.081
23,Austria,284.752,304.441,335.962,372.904,381.709
24,Croatia,134.459,152.448,171.057,195.13,218.896
25,Netherlands,87.186,95.337,107.605,151.042,185.257
26,Nights in all types of accommodation,6833.04,7481.657,8339.978,9685.329,11176.01
27,Hotels and similar establishments,6040.628,6610.499,7409.504,8451.888,9826.434
28,Other collective establishments,792.412,871.158,930.474,1233.441,1349.575
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,4672,4909,5408,5410,5409
32,Overnight visitors (tourists),2642,2867,2853,3013,3188
33,Same-day visitors (excursionists),2030,2042,2555,2397,2221
34,Top destinations, , , , , 
35,Croatia,1494,1614,1660,1680,1732
36,Italy,157,217,152,208,236
37,Austria,162,189,149,171,204
38,Germany,117,109,103,168,191
39,Bosnia and Herzegovina,129,132,117,142,142
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,2298.2,2337.6,2451.2,2687.5,2870
43,International travel receipts,2140.4,2162.1,2270.5,2523.2,2704.1
44,International passenger transport receipts,157.8,175.5,180.7,164.3,165.9
45,Outbound tourism, , , , , 
46,Total international expenditure,1238.1,1234.9,1337.2,1442.5,1492
47,International travel expenditure,1119.3,1109.4,1176.3,1322.4,1389.5
48,International passenger transport expenditure,118.8,125.5,160.9,120.1,102.5
49,Not available,,,,,
50,Estimated value,,,,,
51,,,,,,
