,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,462760.81594700005,345599.102,370396.769,418689.167,425452.142
10,Overnight visitors (tourists),139614.604945,123922.961,132200.905,138356.812,139931.2
11,Same-day visitors (excursionists),323146.21100199997,221676.141,238195.864,280332.355,285520.942
12,Nights in all types of accommodation,621835.3753559999,476458.939,508758.036,517501.822,507738.602
13,Hotels and similar establishments,94350.66505,84074.107,91254.139,90650.467,90647.672
14,Other collective establishments,40634.894834,27574.493,32702.011,38664.329,35712.668
15,Private accommodation,486849.815473,364810.339,384801.886,388187.026,381378.262
16,Inbound tourism, , , , , 
17,Total international arrivals,107614.333,109833.674,115561.077,121717.286,124455.667
18,Overnight visitors (tourists),64995.275,68174.65,75315.008,81868.522,82808.413
19,Same-day visitors (excursionists),42619.058,41659.4,40246.069,39848.764,41647.253
20,Top markets, , , , , 
21,United Kingdom,15006.744,15764.034,17675.367,18806.776,18523.957
22,Germany,10422.055,10260.3,11208.656,11897.376,11414.955
23,France,10615.746,11503.609,11258.54,11267.269,11293.323
24,Nordic Countries,5044.539,5009.081,5129.025,5826.548,5803.535
25,Italy,3697.702,3907.288,3969.322,4222.865,4389.453
26,Nights in all types of accommodation,575795.103,597318.973,593417.445,633696.886,616714.999
27,Hotels and similar establishments,279622.97,288471.634,280646.212,291692.223,287883.699
28,Other collective establishments,34829.998,41004.441,26547.265,32411.513,35598.648
29,Private accommodation,261342.135,266653.785,286223.968,309593.151,293232.652
30,Outbound tourism, , , , , 
31,Total international departures,13951.91542,15706.093,16144.499,17593.631,19750.466
32,Overnight visitors (tourists),11782.715083000001,12488.197,13272.399,14351,16424.451
33,Same-day visitors (excursionists),2169.2003369999998,3217.896,2872.1,3242.631,3326.015
34,Top destinations, , , , , 
35,France,2123.701196,1835.837,2146.534,2461.681,2410.44
36,Portugal,1503.014125,1669.746,1650.105,2086.134,2281.792
37,Italy,1207.276313,1262.857,1450.755,1291.884,1859.573
38,United Kingdom,992.759771,1188.048,1299.357,1388.142,1465.069
39,Germany,688.463,891.04,804.012,803.045,947.6494570000001
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION EUR", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,53883,56309,60351,66682,69023
43,International travel receipts,53883,56309,60351,66682,69023
44,International passenger transport receipts,,,,,
45,Outbound tourism, , , , , 
46,Total international expenditure,13572,15724,16998,19611,22692
47,International travel expenditure,13572,15724,16998,19611,22692
48,International passenger transport expenditure,,,,,
49,Not available,,,,,
50,Break in series,,,,,
51,,,,,,
