,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism  (1), , , , , 
9,Total domestic trips,76000.3773,78049.71745,76374.07789,76309.45184000001,80020.34062
10,Overnight visitors (tourists),7732.299,7830.138,7465.32369,8231.09302,8201.03883
11,Same-day visitors (excursionists),68268.0783,70219.57945,68908.7542,68078.35882,71819.30179000001
12,Nights in all types of accommodation,,,26380.647004000002,27768.194,28572.992977
13,Hotels and similar establishments,16026.135,16052.181,16244.561,16919.875,17413.041
14,Other collective establishments,,,10136.086004,10848.319,11159.951977
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,,,,,
18,Overnight visitors (tourists),9158.26,9304.633,10401.929,11133.204,11714.581
19,Same-day visitors (excursionists),,,,,
20,Top markets, , , , , 
21,Germany,1811.833,1616.251,2017.722,2072.112,2216.038
22,China,890.879,1209.674,982.249,1061.628,1134.799
23,United States,751.514,802.503,898.804,1009.002,1117.516
24,France,698.588,655.062,772.751,787.58,826.078
25,United Kingdom,711.595,709.925,800.102,807.905,820.179
26,Nights in all types of accommodation,,,24016.379,25515.122,26784.186
27,Hotels and similar establishments,19907.377,19576.295,19288.015,20472.865,21393.736
28,Other collective establishments,,,4728.364,5042.257,5390.45
29,Private accommodation,,,,,
30,Outbound tourism, , , , , 
31,Total international departures,,,,24594.15491,26397.333440000002
32,Overnight visitors (tourists),13426.51805,14925.247529999999,14941.38131,16650.37666,16735.37092
33,Same-day visitors (excursionists),,,,7943.77825,9661.96252
34,Top destinations, , , , , 
35,Germany,2638.61005,2938.76882,2979.81925,2765.58075,3134.83517
36,Italy,2556.54716,2807.99681,2729.9376899999997,2868.27563,2964.0777599999997
37,France,2002.9365500000001,2244.10479,1912.55897,3213.1965499999997,2440.97588
38,Austria,1019.0184,1090.66261,960.1215500000001,1062.01223,1078.26939
39,"TOURISM RECEIPTS AND EXPENDITURE, MILLION CHF", , , , , 
40,Inbound tourism, , , , , 
41,Total international receipts,16308.2,15753,15756,16228.3,16596.1
42,International travel receipts,16308.2,15753,15756,16228.3,16596.1
43,International passenger transport receipts,,,,,
44,Outbound tourism, , , , , 
45,Total international expenditure,15444.3,15675.4,16224.7,17570,17948.5
46,International travel expenditure,15444.3,15675.4,16224.7,17570,17948.5
47,International passenger transport expenditure,,,,,
48,Not available,,,,,
49,Break in series,,,,,
50,Trips from demand side surveys; Nights from supply side surveys.,,,,,
51,,,,,,
