,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7, ,2014,2015,2016,2017,2018
8,"TOURISM FLOWS, THOUSAND", , , , , 
9,Domestic tourism, , , , , 
10,Total domestic trips,115088,115381,106501,120872,126446
11,Overnight visitors (tourists),70894,71251,68450,77179,78523
12,Same-day visitors (excursionists),44194,44130,38051,43693,47923
13,Nights in all types of accommodation,575871,588786,605608,665194,633721
14,Hotels and similar establishments,41322,39621,48623,49786,55815
15,Other collective establishments,23209,17294,17700,19030,19116
16,Private accommodation,511340,531871,539285,596378,558790
17,Inbound tourism  (1), , , , , 
18,Total international arrivals,41627,41114,30907,37970,46113
19,Overnight visitors (tourists),39811,39478,30289,37601,45768
20,Same-day visitors (excursionists),1816,1636,618,369,345
21,Top markets, , , , , 
22,Russian Federation,4460,3633,857,4702,5954
23,Germany,5026,5356,3827,3518,4464
24,Bulgaria,1688,1817,1688,1850,2383
25,United Kingdom,2352,2266,1588,1604,2220
26,Georgia,1751,1907,2204,2434,2066
27,Nights in all types of accommodation,118939,109256,77460,80063,112245
28,Hotels and similar establishments,118546,109014,77177,79960,112118
29,Other collective establishments,393,242,283,103,127
30,Private accommodation,,,,,
31,Outbound tourism, , , , , 
32,Total international departures,7982,8751,7892,8887,8383
33,Overnight visitors (tourists),,,,,
34,Same-day visitors (excursionists),,,,,
35,Top destinations, , , , , 
36,Europe not specified,648.742,767.269,921.701,1104.725,1228.506
37,Iraq,1214.4071159999999,1400.610208,56.541646,580.662917,1013.871
38,Bulgaria,730.833618,782.3444910000001,938.809814,948.794732,986.817
39,Greece,911.6587539999999,1017.6491040000001,883.490602,1058.492948,883.847
40,Georgia,1255.967981,1163.978187,1187.078381,1015.8575699999999,777.781
41,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
42,Inbound tourism, , , , , 
43,Total international receipts,38855,35597,26788,31868,37140
44,International travel receipts,29552,26616,18743,22478,25220
45,International passenger transport receipts,9303,8981,8045,9390.5,11920
46,Outbound tourism, , , , , 
47,Total international expenditure,5475,5683,5025,5181,4999
48,International travel expenditure,5072,5368,4783,4823,4595
49,International passenger transport expenditure,403,315,242,358.1,404
50,Not available,,,,,
51,Arrivals from demand side surveys; Nights from supply side surveys.,,,,,
52,,,,,,
