,"Domestic, inbound and outbound tourism",2014,2015,2016,2017,2018
7,"TOURISM FLOWS, THOUSAND", , , , , 
8,Domestic tourism, , , , , 
9,Total domestic trips,2109300,2178700,2206600,2247900,2291100
10,Overnight visitors (tourists),1455417,1525090,1566686,1618488,1658950.2
11,Same-day visitors (excursionists),653883,653610,639914,629412,632149.8
12,Nights in all types of accommodation,,,,,
13,Hotels and similar establishments,875111.878029,899504.554528,933749.335145,973743.3085779999,998086.8912920001
14,Other collective establishments,,,,,
15,Private accommodation,,,,,
16,Inbound tourism, , , , , 
17,Total international arrivals,177953.45,176864.21,175261.885,174291.631,169324.644
18,Overnight visitors (tourists),75021.716,77773.526,76407.488,77186.746,79745.918
19,Same-day visitors (excursionists),102931.734,99090.684,98854.397,97104.885,89578.726
20,Top markets, , , , , 
21,Canada,23013.691,20699.152,19287.499,20493.214,21475.152
22,Mexico,17069.818,18374.224,18990.585,17788.008,18387.405
23,United Kingdom,4149.129,4915.379,4587.092,4482.707,4659.178
24,Japan,3620.224,3792.997,3603.786,3595.607,3493.313
25,China,2189.781,2628.57,3049.942,3173.915,2991.813
26,Nights in all types of accommodation,369323.131,398709.864,391310.978,404677.021,405682.26
27,Hotels and similar establishments,188939.413,204281.327,210146.508,208137.907,212207.137
28,Other collective establishments,16326.754,21707.288,15177.112,17049.982,18545.595
29,Private accommodation,164056.964,172721.248,165987.359,179489.131,174929.528
30,Outbound tourism, , , , , 
31,Total international departures,121708.536784,130907.227811,141526.240528,148055.78876499998,157872.525
32,Overnight visitors (tourists),68185.181,74190.836,80222.8,87657.387,92564.438
33,Same-day visitors (excursionists),53523.355784,56716.391810999994,61303.440528,60398.401765,65308.087
34,Top destinations, , , , , 
35,Mexico,25882,28733,31194,35050,36449
36,Canada,11523.181,12668.836,13891.8,14280.387,14341.438
37,United Kingdom,2831.76,2885.432,3197.467,3756.046,3926.756
38,France,2123.82,2360.808,2178.494,2644.563,3007.728
39,Italy,1908.36,2032.918,2213.631,2337.947,2924.18
40,"TOURISM RECEIPTS AND EXPENDITURE, MILLION USD", , , , , 
41,Inbound tourism, , , , , 
42,Total international receipts,235989,249183,245991,251544,256145
43,International travel receipts,191918,206936,206650,210655,214680
44,International passenger transport receipts,44071,42247,39341,40889,41465
45,Outbound tourism, , , , , 
46,Total international expenditure,140558,150042,160959,173760,186506
47,International travel expenditure,105668,114548,123549,134868,144463
48,International passenger transport expenditure,34890,35494,37410,38892,42043
49,Not available,,,,,
50,,,,,,
